ex_id|date
00308|05/04/16 - 06/26/16
00306|04/27/16 - 06/19/16
00307|05/04/16 - 06/26/16
00304|04/20/16 - 06/12/16
00305|04/27/16 - 06/19/16
00302|01/20/16 - 04/10/16
00303|01/13/16 - 04/17/16
00301|02/03/16 - 04/10/16
00210|COME SEE IT
00206|COME SEE IT
00205|COME SEE IT
00204|COME SEE IT
00203|COME SEE IT
00202|COME SEE IT
00201|COME SEE IT
00209|COME SEE IT
00208|COME SEE IT
00207|COME SEE IT
00108|Through July 3, 2016
00104|Through August 7, 2016
00105|Through May 1, 2016
00106|Through Fall 2017
00107|Through March 27, 2016
00101|Through May 10, 2016
00102|Ongoing
00103|Through May 1, 2016
00603|January 9, 2016 - April 10, 2016
00602|December 13, 2014 - March 13, 2016
00601|February 6May 15, 2016
00605|June 18, 2016 - September 11, 2016
00604|January 9, 2016 - May 1, 2016
00501|August 29, 2015 - April 10, 2016
00502|January 16, 2016 - July 10, 2016
00503|February 27, 2016 - September 11, 2016
00504|March 12, 2016 - May 30, 2016
00505|April 510, 2016
00506|July 16, 2016 - October 9, 2016
00507|November 5, 2016 - March 12, 2017
00412|March 12June 12, 2016
00414|March 19September 5, 2016
00406|Through Sunday, April 10
00403|October 11, 2015March 7, 2016
00402|Through Sunday, March 20
00401|Through Sunday, May 15
00413|March 13July 4, 2016
00410|Ongoing
00411|Ongoing
00405|Through Sunday, March 20
00404|Through Sunday, March 20
00407|Through Saturday, April 30
00415|March 26, 2016March 12, 2017
00409|Ongoing
00408|Through Sunday, May 1
00418|July 3October 2, 2016
00419|March 25April 2, 2017
00417|April 9August 28, 2016
00416|March 26July 24, 2016
00420|Through Wednesday, August 31
